2023-03-14 17:17:19.819858: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
2023-03-14 17:17:20.383025: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2023-03-14 17:17:20.383468: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcuda.so.1
2023-03-14 17:17:20.410005: E tensorflow/stream_executor/cuda/cuda_driver.cc:328] failed call to cuInit: CUDA_ERROR_UNKNOWN: unknown error
2023-03-14 17:17:20.410040: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: islab-Reborn1114
2023-03-14 17:17:20.410047: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: islab-Reborn1114
2023-03-14 17:17:20.410118: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:200] libcuda reported version is: 515.86.1
2023-03-14 17:17:20.410134: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:204] kernel reported version is: 515.86.1
2023-03-14 17:17:20.410139: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:310] kernel version seems to match DSO: 515.86.1
2023-03-14 17:17:20.411542: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
sys.args:  ['exp_train_CFGExplainer.py', '32', 'data', '1024-512-128', '0.00001', 'classifier_lynxv2_', 'yancfg_complete_sample2', '300', 'ep300_b32_elr00001_']
created Graph GCN model
+ loaded padded_train Benign
+ loaded padded_train Malware
+ gcn model: <util.models.GCN object at 0x7fb011782c10>
+ explainer model: <Explainer.ExplainerModule object at 0x7fa22ee8f040>
+ ep 0  acc = tf.Tensor(0.51, shape=(), dtype=float32)
+ ep 145  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 146  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 147  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 148  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 149  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 150  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 151  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 152  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 153  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 154  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 155  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 156  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 157  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 158  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 159  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 160  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 161  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 162  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 163  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 164  acc = tf.Tensor(0.9, shape=(), dtype=float32)
+ ep 165  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 166  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 167  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 168  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 169  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 170  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 171  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 172  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 173  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 174  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 175  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 176  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 177  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 178  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 179  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 180  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 181  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 182  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 183  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 184  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 185  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 186  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 187  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 188  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 189  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 190  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 191  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 192  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 193  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 194  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 195  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 196  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 197  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 198  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 199  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 200  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 201  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 202  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 203  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 204  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 205  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 206  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 207  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 208  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 209  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 210  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 211  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 212  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 213  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 214  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 215  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 216  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 217  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 218  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 219  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 220  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 221  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 222  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 223  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 224  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 225  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 226  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 227  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 228  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 229  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 230  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 231  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 232  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 233  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 234  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 235  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 236  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 237  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 238  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 239  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 240  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 241  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 242  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 243  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 244  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 245  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 246  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 247  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 248  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 249  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 250  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 251  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 252  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 253  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 254  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 255  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 256  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 257  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 258  acc = tf.Tensor(0.91, shape=(), dtype=float32)
+ ep 259  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 260  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 261  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 262  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 263  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 264  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 265  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 266  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 267  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 268  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 269  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 270  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 271  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 272  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 273  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 274  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 275  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 276  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 277  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 278  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 279  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 280  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 281  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 282  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 283  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 284  acc = tf.Tensor(0.92, shape=(), dtype=float32)
+ ep 285WARNING:tensorflow:Unresolved object in checkpoint: (root).pred_layer.kernel
WARNING:tensorflow:Unresolved object in checkpoint: (root).pred_layer.kernel
WARNING:tensorflow:Unresolved object in checkpoint: (root).pred_layer.bias
WARNING:tensorflow:Unresolved object in checkpoint: (root).pred_layer.bias
WARNING:tensorflow:A checkpoint was restored (e.g. tf.train.Checkpoint.restore or tf.keras.Model.load_weights) but not all checkpointed values were used. See above for specific issues. Use expect_partial() on the load status object, e.g. tf.train.Checkpoint.restore(...).expect_partial(), to silence these warnings, or use assert_consumed() to make the check explicit. See https://www.tensorflow.org/guide/checkpoint#loading_mechanics for details.
WARNING:tensorflow:A checkpoint was restored (e.g. tf.train.Checkpoint.restore or tf.keras.Model.load_weights) but not all checkpointed values were used. See above for specific issues. Use expect_partial() on the load status object, e.g. tf.train.Checkpoint.restore(...).expect_partial(), to silence these warnings, or use assert_consumed() to make the check explicit. See https://www.tensorflow.org/guide/checkpoint#loading_mechanics for details.
  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 286  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 287  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 288  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 289  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 290  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 291  acc = tf.Tensor(0.93, shape=(), dtype=float32)
+ ep 292  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 293  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 294  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 295  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 296  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 297  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 298  acc = tf.Tensor(0.94, shape=(), dtype=float32)
+ ep 299  acc = tf.Tensor(0.94, shape=(), dtype=float32)
